date,value
31/01/2011,102.1
28/02/2011,100.6
31/03/2011,100.4
30/04/2011,101.5
31/05/2011,104.8
30/06/2011,103.5
31/07/2011,103.3
31/08/2011,103.7
30/09/2011,103.9
31/10/2011,104.4
30/11/2011,103.9
31/12/2011,103.7
31/01/2012,106.2
29/02/2012,107.2
31/03/2012,107.7
30/04/2012,107.7
31/05/2012,107.6
30/06/2012,106.9
31/07/2012,105.7
31/08/2012,106.9
30/09/2012,106.8
31/10/2012,106.8
30/11/2012,106.2
31/12/2012,106.5
31/01/2013,107.9
28/02/2013,107.8
31/03/2013,108.1
30/04/2013,107.6
31/05/2013,107.6
30/06/2013,107.7
31/07/2013,108.8
31/08/2013,108.8
30/09/2013,109.2
31/10/2013,109.8
30/11/2013,110.6
31/12/2013,110.5
31/01/2014,111.3
28/02/2014,111.5
31/03/2014,112
30/04/2014,112.3
31/05/2014,112.4
30/06/2014,113.3
31/07/2014,113.9
31/08/2014,113.7
30/09/2014,113.4
31/10/2014,113.4
30/11/2014,113.2
31/12/2014,113.1
31/01/2015,114.2
28/02/2015,115.8
31/03/2015,116.6
30/04/2015,117.3
31/05/2015,118.2
30/06/2015,118.4
31/07/2015,118.1
31/08/2015,118.3
30/09/2015,118.1
31/10/2015,117.8
30/11/2015,117
31/12/2015,117.1
31/01/2016,117.4
29/02/2016,119.2
31/03/2016,119.3
30/04/2016,118.9
31/05/2016,119.2
30/06/2016,118.7
31/07/2016,118.5
31/08/2016,118
30/09/2016,118.3
31/10/2016,118.4
30/11/2016,118.5
31/12/2016,118.3
31/01/2017,118.3
28/02/2017,118.7
31/03/2017,117.7
30/04/2017,117.9
31/05/2017,118.3
30/06/2017,119.4
31/07/2017,119.9
31/08/2017,119.4
30/09/2017,119.2
31/10/2017,119.8
30/11/2017,119.4
31/12/2017,120.5
31/01/2018,120.5
28/02/2018,121.1
31/03/2018,121.8
30/04/2018,121.1
31/05/2018,120.6
30/06/2018,120.8
31/07/2018,120.7
31/08/2018,117.8
30/09/2018,120.8
31/10/2018,121
30/11/2018,120.8
31/12/2018,120.7
31/01/2019,120.4
28/02/2019,121.8
31/03/2019,121.6
30/04/2019,121.7
31/05/2019,122.5
30/06/2019,122.3
31/07/2019,122.6
31/08/2019,122.3
30/09/2019,122.1
31/10/2019,121.8
30/11/2019,121.9
31/12/2019,121.8
31/01/2020,125.9